run_id,label,epoch,val_si_sdri
6xuv1tob,mf2_matched_final,46,17.0441
6xuv1tob,mf2_matched_final,47,17.0245
6xuv1tob,mf2_matched_final,48,17.0354
6xuv1tob,mf2_matched_final,49,17.0386
6xuv1tob,mf2_matched_final,50,17.0376
6xuv1tob,mf2_matched_final,51,17.0279
6xuv1tob,mf2_matched_final,52,17.0320
6xuv1tob,mf2_matched_final,53,17.0376
6xuv1tob,mf2_matched_final,54,17.0326
6xuv1tob,mf2_matched_final,55,17.0332
6xuv1tob,mf2_matched_final,56,17.0341
cw1qdo1h,mf2_full_final,1,13.3329
cw1qdo1h,mf2_full_final,2,14.5481
cw1qdo1h,mf2_full_final,3,15.2041
cw1qdo1h,mf2_full_final,4,15.7731
cw1qdo1h,mf2_full_final,5,16.0493
cw1qdo1h,mf2_full_final,6,16.2326
cw1qdo1h,mf2_full_final,7,16.4474
cw1qdo1h,mf2_full_final,8,16.6094
cw1qdo1h,mf2_full_final,9,16.7315
cw1qdo1h,mf2_full_final,10,16.8861
cw1qdo1h,mf2_full_final,11,16.9008
cw1qdo1h,mf2_full_final,12,17.0433
cw1qdo1h,mf2_full_final,13,17.0399
cw1qdo1h,mf2_full_final,14,17.1129
cw1qdo1h,mf2_full_final,15,17.1630
cw1qdo1h,mf2_full_final,16,17.2052
cw1qdo1h,mf2_full_final,17,17.2698
cw1qdo1h,mf2_full_final,18,17.3061
cw1qdo1h,mf2_full_final,19,17.3571
cw1qdo1h,mf2_full_final,20,17.3407
cw1qdo1h,mf2_full_final,21,17.4153
cw1qdo1h,mf2_full_final,22,17.4450
cw1qdo1h,mf2_full_final,23,17.4309
cw1qdo1h,mf2_full_final,24,17.4671
cw1qdo1h,mf2_full_final,25,17.4973
cw1qdo1h,mf2_full_final,26,17.5304
cw1qdo1h,mf2_full_final,27,17.5484
cw1qdo1h,mf2_full_final,28,17.5839
cw1qdo1h,mf2_full_final,29,17.5941
cw1qdo1h,mf2_full_final,30,17.6063
cw1qdo1h,mf2_full_final,31,17.6192
cw1qdo1h,mf2_full_final,32,17.6513
cw1qdo1h,mf2_full_final,33,17.6016
cw1qdo1h,mf2_full_final,34,17.6733
cw1qdo1h,mf2_full_final,35,17.7063
cw1qdo1h,mf2_full_final,36,17.7041
cw1qdo1h,mf2_full_final,37,17.6862
cw1qdo1h,mf2_full_final,38,17.8811
cw1qdo1h,mf2_full_final,39,17.9366
cw1qdo1h,mf2_full_final,40,17.8694
cw1qdo1h,mf2_full_final,41,17.9139
cw1qdo1h,mf2_full_final,42,17.9243
cw1qdo1h,mf2_full_final,43,17.9546
cw1qdo1h,mf2_full_final,44,17.9422
cw1qdo1h,mf2_full_final,45,17.9515
cw1qdo1h,mf2_full_final,46,17.9651
cw1qdo1h,mf2_full_final,47,17.9836
cw1qdo1h,mf2_full_final,48,17.9582
cw1qdo1h,mf2_full_final,49,17.9658
cw1qdo1h,mf2_full_final,50,18.0001
cw1qdo1h,mf2_full_final,51,17.9789
cw1qdo1h,mf2_full_final,52,17.9938
cw1qdo1h,mf2_full_final,53,17.9788
cw1qdo1h,mf2_full_final,54,17.9884
cw1qdo1h,mf2_full_final,55,17.9842
